,日期,收盘价(元)
195,2015/11/30,33.171279085871
196,2015/12/01,32.411016219264
197,2015/12/02,31.0227832300554
198,2015/12/03,31.5626700768202
199,2015/12/04,31.4894118624522
200,2015/12/07,31.0103509597426
201,2015/12/08,31.1001070803179
202,2015/12/09,30.8807158923239
203,2015/12/10,30.8077923107588
204,2015/12/11,30.7080139424913
205,2015/12/14,30.9882719843011
206,2015/12/15,30.1181648128864
207,2015/12/16,29.9876399342166
208,2015/12/17,28.7828369276119
209,2015/12/18,20.6072615078366
210,2015/12/21,24.2582980121452
211,2015/12/22,25.3034723112462
212,2015/12/23,26.4374066879209
213,2015/12/24,26.4292932157398
214,2015/12/25,25.3561963468569
215,2015/12/28,26.0991545596026
216,2015/12/29,25.5404881778103
217,2015/12/30,25.936912332352
218,2015/12/31,26.5927516545434
219,2016/01/04,32.5627134685771
220,2016/01/05,33.5937874195596
221,2016/01/06,32.3093831907444
222,2016/01/07,36.8536396582147
223,2016/01/08,36.4588276521309
224,2016/01/11,39.2467781783634
225,2016/01/12,38.4840328407121
226,2016/01/13,37.7494224680211
227,2016/01/14,38.494555179575
228,2016/01/15,37.5628597642637
229,2016/01/18,37.8506701549571
230,2016/01/19,36.1510567117012
231,2016/01/20,36.4878002970532
232,2016/01/21,36.627907984798
233,2016/01/22,34.6912614930308
234,2016/01/25,34.7313084907152
235,2016/01/26,35.4883493923056
236,2016/01/27,38.0516765178113
237,2016/01/28,38.6578085136134
238,2016/01/29,37.0406996658561
239,2016/02/01,34.7188674565743
240,2016/02/02,32.6568489623219
241,2016/02/03,32.4594213874315
242,2016/02/04,32.1447554956881
243,2016/02/05,33.1532446227693
244,2016/02/15,36.0230576069999
245,2016/02/16,34.7239043525381
246,2016/02/17,33.4692659657673
247,2016/02/18,31.4284002485671
248,2016/02/19,29.332701724758
249,2016/02/22,28.2770924077867
250,2016/02/23,29.4836512118195
251,2016/02/24,29.8451815456518
252,2016/02/25,32.5385056563036
253,2016/02/26,31.0532614377958
254,2016/02/29,32.3547913497174
255,2016/03/01,30.4022682509077
256,2016/03/02,31.1246326047976
257,2016/03/03,31.7705697828733
258,2016/03/04,31.8319363117193
